Role,Company,Location,City_Key,State,Salary,Real_Wage,Unemployment_Rate,Cost of Living Index,description,Latitude,Longitude
Data Scientist,Bowhead / UIC Technical Services,"Dahlgren, King George County",dahlgren,VA,135330.14,204395.31792780544,2.7,66.21000000000001,"Overview Data Scientist (E30-2025-22465): Bowhead seeks a Data Scientist with a strong background in data trend analysis to join our team supporting Naval Surface Warfare Center Dahlgren Division (NSWCDD), E Department. This position will require onsite work at the Bowhead office or Navy installation.  Responsibilities Applies mathematics, statistics, predictive modelling and machine learning techniques to discover meaningful patterns and knowledge in recorded data Plans, designs, creates, amen…",38.336311,-77.051537
Data Scientist,Mastercard,"O Fallon, Saint Charles County",o fallon,MO,145693.62,221620.96136294494,3.25,65.74,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",38.810608,-90.699848
Data Scientist,Mastercard,"New York City, New York",new york city,NY,95538.55,112009.5550735682,4.1,85.295,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",42.1,-74.9
Data Scientist,NextEra,"Denver, Colorado",denver,CO,128387.69,178266.71757845045,4.6,72.02,"Requisition ID: 90819 NextEra Energy Resources is one of America's largest wholesale electricity generators, harnessing diverse energy sources to power progress. We deliver tailored energy solutions that fuel economic growth, strengthen communities, and help customers achieve their energy goals. Ready to make a lasting impact? Take the next step in your career with us! Position Specific Description The Senior Data Scientist for the Transmission Fundamentals team will collaborate with other team…",39.75,-104.99
Data Scientist,Capgemini Government Solutions,"Washington, Washington, D.C.","washington, d.c.",WA,140406.73,164199.19307683312,3.6,85.51,"Capgemini Government Solutions (CGS) LLC is seeking a highly motivated Data Scientist to develop and deploy models and methodologies that enable pattern analysis, predictive modeling, intelligent automation, and AI/ML solutions. The successful candidate will have the opportunity to conceive and deliver innovative data science solutions to the U.S. Public Sector to help address critical national and global challenges such as health, climate change, and national security. This individual will joi…",38.912068,-77.019023
Data Scientist,Lumen Technologies,US,unknown,Unknown,149084.0,198778.66666666666,3.8,75.0,"hackajob is collaborating with Lumen Technologies to connect them with exceptional tech professionals for this role. About Lumen Lumen connects the world. We are igniting business growth by connecting people, data and applications – quickly, securely, and effortlessly. Together, we are building a culture and company from the people up – committed to teamwork, trust and transparency. People power progress. We’re looking for top-tier talent and offer the flexibility you need to thrive and deliver…",39.8,-98.5
Data Scientist,MI Technical Solutions,"Chesapeake, Chesapeake City",chesapeake,VA,118879.47,179549.11644766649,2.7,66.21000000000001,"Job Description Job Description MI Technical Solutions is a Woman-Owned Small Business (WOSB) comprised of a broad range of talented employees that provide diversified engineering and technical support services since 2004! Our team works tirelessly to build a respected, results-oriented brand. We are headquartered in Chesapeake, VA with employees located near each of the Navy Fleet Centers within the continental United States (San Diego, Jacksonville, Seattle, New England, Norfolk) as well as H…",36.757801,-76.213147
Data Scientist,"iSphere Innovation Partners, LLC","Houston, Harris County",houston,TX,109752.36,174509.25395916813,4.0,62.891999999999996,"Job Description Job Description Data Scientist – Strategic Data Intelligence Location: Houston, TX (Onsite) Duration: Long-term / Ongoing About the Opportunity iSphere is on the hunt for a Data Scientist – Strategic Data Intelligence to join a forward-thinking team in Houston. This is a hands-on role where you’ll turn complex educational and operational data into meaningful stories and actionable insights that drive smarter decisions. You’ll collaborate with senior analysts, engineers, and busi…",31.0,-97.5
Data Scientist,Dahl Consulting,"Brooklyn Park, Hennepin County",brooklyn park,MN,115112.87,157840.21664609897,2.4,72.93,"Job Description Job Description Title : Data Scientist Location : Brooklyn Park, MN | Hybrid onsite Tuesday & Wednesday Job Type : Contract Compensation : $60.00 - $90.00 per hour (W2) Industry: Retail  About the Role We are seeking a highly skilled Data Scientist to join a leading organization in the retail and consumer goods industry. This role focuses on leveraging advanced analytics and Generative AI (GenAI) technologies to drive innovation and deliver impactful business solutions. You will…",45.052783,-93.381195
Data Scientist,Square Peg Technologies,"Washington, Washington, D.C.","washington, d.c.",WA,89176.82,104288.1768214244,3.6,85.51,"Job Description Job Description Clearance Level Required: Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph. Location: Northern Virginia The Mission: Square Peg Technologies is looking for data scientists who enjoy leveraging large sets of data to tell stories. In this role, you will apply modern machine and deep learning approaches to import, clean, transform and model data that supports our nation's core intelligence decision-makers. You will be responsible for designing or p…",38.912068,-77.019023
