category,adref,salary_min,longitude,latitude,redirect_url,salary_is_predicted,id,company,__CLASS__,location,description,title,created,salary_max
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDI3MiIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0.eTYgyz8hd4nKGXvx8JpZqWrpCEqPX14ky-sgw7NDpK0,165967.38,-79.094579,35.913978,https://www.adzuna.com/land/ad/5508920272?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=FAA021AEA29DB259871B12711A0C307BE6459B4D,1,5508920272,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Carrboro, Orange County', 'area': ['US', 'North Carolina', 'Orange County', 'Carrboro']}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:02Z,165967.38
"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDMyOSIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0.2Dupxin1mOwnAbmwcyDQA4KhQbteh35ChW8cdS6BXDA,166375.28,-78.658898,35.411383,https://www.adzuna.com/land/ad/5508920329?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=4931535000607C59EE70B854071D2CC6AC6EFA95,1,5508920329,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cognizant'}",Adzuna::API::Response::Job,"{'area': ['US', 'North Carolina', 'Harnett County', 'Coats'], 'display_name': 'Coats, Harnett County', '__CLASS__': 'Adzuna::API::Response::Location'}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:04Z,166375.28
"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDI5OCIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0.BcY7MUPKPesZv10wckne76H2Jf5llzibMZh9pOJTChk,200354.92,-78.387171,35.657464,https://www.adzuna.com/land/ad/5508920298?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=DD10320650BBEAEBA3ED8CC47772B5DD72BE39B4,1,5508920298,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'area': ['US', 'North Carolina', 'Johnston County', 'Archers Lodge'], 'display_name': 'Archers Lodge, Johnston County', '__CLASS__': 'Adzuna::API::Response::Location'}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,200354.92
"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDMwNiIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0.B-StAIej04oHFYAObvn_MZVeDeGaaPr4Z4MAC9GhgzQ,171925.61,-78.9515,35.95705,https://www.adzuna.com/land/ad/5508920306?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=F140EC2AE3A119C7019C9583D0DB04FE72182D28,1,5508920306,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Shannon Plaza, Durham County', 'area': ['US', 'North Carolina', 'Durham County', 'Shannon Plaza']}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,171925.61
"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3B2WFk0eks4QkdONmNSbzBJUDVEZyIsImkiOiI1NTA5MDM3MDI3In0.Fo6e78xViKsUq-KibqVRgWCtRmFBVn97xgx0opkXMWo,169851.66,-78.62312,35.77978,https://www.adzuna.com/land/ad/5509037027?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=AB5F6483DB83B4BC25E49B727F34A960D124BD99,1,5509037027,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cognizant'}",Adzuna::API::Response::Job,"{'display_name': 'Raleigh, Wake County', 'area': ['US', 'North Carolina', 'Wake County', 'Raleigh'], '__CLASS__': 'Adzuna::API::Response::Location'}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T07:04:50Z,169851.66
"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3B2WFk0eks4QkdONmNSbzBJUDVEZyIsImkiOiI1NTA4OTIwMzA1In0.NVNZFmZyFk7XfB0p2_8Ghe1fgjzT2-KumdkhhvOoFD8,186960.34,-78.792769,35.578572,https://www.adzuna.com/land/ad/5508920305?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=B667D5888E9921FA432D30BAD6F4646BA7D2CE3A,1,5508920305,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cognizant'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Fuquay Varina, Wake County', 'area': ['US', 'North Carolina', 'Wake County', 'Fuquay Varina']}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,186960.34
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDI3NCIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0._FTUNMRMcDksnnLHuB7VKziukyXwH-Ln7103LoAb0Ss,169185.44,-78.583446,35.762793,https://www.adzuna.com/land/ad/5508920274?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=BB64B276402A1E0B214B7903F212196FCAAFB06C,1,5508920274,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cognizant'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wilders Grove, Wake County', 'area': ['US', 'North Carolina', 'Wake County', 'Wilders Grove']}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,169185.44
"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwODkyMDI4NCIsInMiOiJzcHZYWTR6SzhCR042Y1JvMElQNURnIn0.tS2A0AQxGFwm8aqadzXcrSzPmylzgitGIRskSzCdwoE,171018.03,-78.741993,35.408252,https://www.adzuna.com/land/ad/5508920284?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=078408739ADE1CE322966B8813E7638620CD4564,1,5508920284,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Buies Creek, Harnett County', 'area': ['US', 'North Carolina', 'Harnett County', 'Buies Creek']}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,171018.03
"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3B2WFk0eks4QkdONmNSbzBJUDVEZyIsImkiOiI1NTA4OTIwMjk2In0.aCKyU7uQQINEI94fjPfRMzEU4ObjoUGOysx4s5kE6yU,194277.34,-78.88069,36.051429,https://www.adzuna.com/land/ad/5508920296?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=795103345F6CDD41C4E27B93D294F8517EF1E499,1,5508920296,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'area': ['US', 'North Carolina', 'Durham County', 'Eno Valley'], 'display_name': 'Eno Valley, Durham County', '__CLASS__': 'Adzuna::API::Response::Location'}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:03Z,194277.34
"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3B2WFk0eks4QkdONmNSbzBJUDVEZyIsImkiOiI1NTA4OTIwMzQwIn0.L8LPYD_HqUlbEdWaRmFQx2yFux3XW17cwTkqQKp07v4,168185.31,-78.343501,35.6032,https://www.adzuna.com/land/ad/5508920340?se=spvXY4zK8BGN6cRo0IP5Dg&utm_medium=api&utm_source=4754d954&v=D06CABEA39976476CE2B26332CCD789C75F63D16,1,5508920340,"{'display_name': 'Cognizant', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'display_name': 'Wilsons Mills, Johnston County', 'area': ['US', 'North Carolina', 'Johnston County', 'Wilsons Mills'], '__CLASS__': 'Adzuna::API::Response::Location'}","JOB RESPONSIBILITIES: Develop and implement LLM-based applications tailored for in-house legal Fine-tune and deploy large language models to enhance their performance on legal text processing tasks Evaluate and help maintain our data assets and training/evaluation data sets Design and build pipelines for preprocessing, annotating, and managing legal document datasets Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs Conduct experiments and ev…",Sr. Data Scientist - Gen AI (Hybrid),2025-11-22T03:53:04Z,168185.31
