salary_is_predicted,created,adref,salary_min,latitude,id,longitude,description,title,salary_max,__CLASS__,redirect_url,search_role,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,contract_type,contract_time
1,2025-08-15T09:34:19Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZk1LSDVhblE4QkdwTExXUkJoYXRaUSIsImkiOiI1MzUzNzUwNDM1In0.xTb346rI_Az72Oy5kN2vhxMHz3hBm1-BbyiUq-QmpzE,135330.14,38.336311,5353750435,-77.051537,"Overview Data Scientist (E30-2025-22465): Bowhead seeks a Data Scientist with a strong background in data trend analysis to join our team supporting Naval Surface Warfare Center Dahlgren Division (NSWCDD), E Department. This position will require onsite work at the Bowhead office or Navy installation.  Responsibilities Applies mathematics, statistics, predictive modelling and machine learning techniques to discover meaningful patterns and knowledge in recorded data Plans, designs, creates, amen…",Data Scientist,135330.14,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5353750435?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=C89F56B5438A2724268975224DE901F9C899F920,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Bowhead / UIC Technical Services,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'King George County', 'Dahlgren']","Dahlgren, King George County",,
1,2025-12-03T05:59:26Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyNTUwOTg3MSIsInMiOiJmTUtINWFuUThCR3BMTFdSQmhhdFpRIn0.4tm6MFmtu_HjptRbMSPGJwKnx-Rn0SaNrzSW_Aec6QM,145693.62,38.810608,5525509871,-90.699848,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",Lead Data Scientist,145693.62,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5525509871?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=F8B2CE2BD5CEB762ADE39D2F389EC28D561716C3,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Mastercard,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Missouri', 'Saint Charles County', 'O Fallon']","O Fallon, Saint Charles County",,
1,2025-12-03T05:59:26Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZk1LSDVhblE4QkdwTExXUkJoYXRaUSIsImkiOiI1NTI1NTA5OTQyIn0.Bs6rn97AP3i777f8duWYunerVbieRAB3r7DxLOElM8g,95538.55,,5525509942,,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",Lead Data Scientist,95538.55,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5525509942?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=34E84225E7E702B691EA6ABACF7F39369E8A1333,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Mastercard,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New York', 'New York City']","New York City, New York",,
1,2025-11-22T06:49:52Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwOTAyNjQ3MiIsInMiOiJmTUtINWFuUThCR3BMTFdSQmhhdFpRIn0.J0dIg5DWSLKxB4XEXL66raF6ExgV0LlbAP4910NEdwI,128387.69,39.75,5509026472,-104.99,"Requisition ID: 90819 NextEra Energy Resources is one of America's largest wholesale electricity generators, harnessing diverse energy sources to power progress. We deliver tailored energy solutions that fuel economic growth, strengthen communities, and help customers achieve their energy goals. Ready to make a lasting impact? Take the next step in your career with us! Position Specific Description The Senior Data Scientist for the Transmission Fundamentals team will collaborate with other team…",Sr Data Scientist - Transmission Planning,128387.69,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5509026472?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=74149A2BCC0A39F1BAE536EE9D281F52F38FB706,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,NextEra,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver']","Denver, Colorado",contract,full_time
1,2025-11-20T22:18:29Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwNjkxMDA2NSIsInMiOiJmTUtINWFuUThCR3BMTFdSQmhhdFpRIn0.7qCSQyejxHlW_aitF-HcVTsIMutccGoaXkDDnd9Hm1I,140406.73,38.912068,5506910065,-77.019023,"Capgemini Government Solutions (CGS) LLC is seeking a highly motivated Data Scientist to develop and deploy models and methodologies that enable pattern analysis, predictive modeling, intelligent automation, and AI/ML solutions. The successful candidate will have the opportunity to conceive and deliver innovative data science solutions to the U.S. Public Sector to help address critical national and global challenges such as health, climate change, and national security. This individual will joi…",Data Scientist,140406.73,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5506910065?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=2412320D4A53E78AC32BB6D6919E4CA643462FBA,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Capgemini Government Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Washington, D.C.', 'Washington']","Washington, Washington, D.C.",,
0,2025-11-18T10:00:25Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZk1LSDVhblE4QkdwTExXUkJoYXRaUSIsImkiOiI1NTAxNzQwMDIxIn0.qZSqHF6iznVa4mZH_rLfDdAvdrajqpOouo0ncWc6AOQ,149084.0,,5501740021,,"hackajob is collaborating with Lumen Technologies to connect them with exceptional tech professionals for this role. About Lumen Lumen connects the world. We are igniting business growth by connecting people, data and applications – quickly, securely, and effortlessly. Together, we are building a culture and company from the people up – committed to teamwork, trust and transparency. People power progress. We’re looking for top-tier talent and offer the flexibility you need to thrive and deliver…",Principal Data Scientist,149084.0,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5501740021?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=DC74C5ECCDE0409F31BD631DB420517E67E5212B,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Lumen Technologies,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,permanent,
1,2025-12-02T10:37:12Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyNDA5ODQxMCIsInMiOiJmTUtINWFuUThCR3BMTFdSQmhhdFpRIn0.4g3CCakMxrxpj_0fm8OerdeVOIc4Lg5eeDYClP6T6qo,118879.47,36.757801,5524098410,-76.213147,"Job Description Job Description MI Technical Solutions is a Woman-Owned Small Business (WOSB) comprised of a broad range of talented employees that provide diversified engineering and technical support services since 2004! Our team works tirelessly to build a respected, results-oriented brand. We are headquartered in Chesapeake, VA with employees located near each of the Navy Fleet Centers within the continental United States (San Diego, Jacksonville, Seattle, New England, Norfolk) as well as H…",Data Scientist,118879.47,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5524098410?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=779A8F14D9EABE46F5274142D2DE1C72F405211C,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,MI Technical Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'Chesapeake City', 'Chesapeake']","Chesapeake, Chesapeake City",,
1,2025-12-02T10:40:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZk1LSDVhblE4QkdwTExXUkJoYXRaUSIsImkiOiI1NTI0MTAxODk3In0.qSmpppKGyUQ9aHCrEeqowD93t2IhsC9yXE2UBbp4lXw,109752.36,,5524101897,,"Job Description Job Description Data Scientist – Strategic Data Intelligence Location: Houston, TX (Onsite) Duration: Long-term / Ongoing About the Opportunity iSphere is on the hunt for a Data Scientist – Strategic Data Intelligence to join a forward-thinking team in Houston. This is a hands-on role where you’ll turn complex educational and operational data into meaningful stories and actionable insights that drive smarter decisions. You’ll collaborate with senior analysts, engineers, and busi…",Data Scientist,109752.36,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5524101897?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=582C80F37033B965E451862304A1780FAC8B3956,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,"iSphere Innovation Partners, LLC",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Harris County', 'Houston']","Houston, Harris County",,
1,2025-12-02T10:37:25Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyNDA5ODY5NyIsInMiOiJmTUtINWFuUThCR3BMTFdSQmhhdFpRIn0.ej2hEz1ChAEo9mEMMWoTxkETcD7E_UTqhgQySLApa8c,115112.87,45.052783,5524098697,-93.381195,"Job Description Job Description Title : Data Scientist Location : Brooklyn Park, MN | Hybrid onsite Tuesday & Wednesday Job Type : Contract Compensation : $60.00 - $90.00 per hour (W2) Industry: Retail  About the Role We are seeking a highly skilled Data Scientist to join a leading organization in the retail and consumer goods industry. This role focuses on leveraging advanced analytics and Generative AI (GenAI) technologies to drive innovation and deliver impactful business solutions. You will…",Data Scientist,115112.87,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5524098697?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=B96055E9FC28CB0C46D74BEBDBBB1BC03AFF4055,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Dahl Consulting,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Minnesota', 'Hennepin County', 'Brooklyn Park']","Brooklyn Park, Hennepin County",,
1,2025-12-02T10:41:29Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZk1LSDVhblE4QkdwTExXUkJoYXRaUSIsImkiOiI1NTI0MTAzMTc4In0.HtjamSrImzfp_Er5r6BxyoUh1o-T-ev6q5L8deuY_lQ,89176.82,38.912068,5524103178,-77.019023,"Job Description Job Description Clearance Level Required: Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph. Location: Northern Virginia The Mission: Square Peg Technologies is looking for data scientists who enjoy leveraging large sets of data to tell stories. In this role, you will apply modern machine and deep learning approaches to import, clean, transform and model data that supports our nation's core intelligence decision-makers. You will be responsible for designing or p…",Data Scientist,89176.82,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5524103178?se=fMKH5anQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=4754d954&v=56877120C344A38FCA2B5BE6ED2FBF5B643B687C,Data Scientist,Adzuna::API::Response::Category,it-jobs,IT Jobs,Square Peg Technologies,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Washington, D.C.', 'Washington']","Washington, Washington, D.C.",,
